sample_id,context,label_value,label_name,resp_0,resp_1,resp_2,resp_3,resp_4,metric_averaged_cosine_similarity,metric_averaged_distinct_ngrams,metric_bert_score,metric_s_d,metric_s_d_norm,metric_s_s_d,metric_s_s_d_norm,metric_sent_bert,metric_t_s_d,metric_t_s_d_norm
test.sa-sb.sa::00737,John did not do his homework in many of his classes. He failed his classes in the following report card. His parents punished him. He went to therapy.,1.0,content_diversity,"After going through the therapy, his grades improved substantially","At the end of therapy, he felt like he made no progress at all",He ran away in the middle of the therapy session,"After therapy, he decided he needs to change his approach to coursework",He had a breakdown during the therapy,-0.040,0.934,-0.374,2.510,0.502,4.973,0.995,-0.441,10.950,0.406
test.sa-sb.sa::00738,James wanted to go swimming. He made plans with friends. Unfortunately it started to rain. Most of his friends cancelled.,1.0,content_diversity,James didn't care about the rain and went swimming anyway.,James got mad at his friends for canceling and stayed home and played games.,James was really angry about the rain and told his friends he was mad at them too.,One of James' friends didn't cancel and they went swimming together.,James decided to go swimming anyway and found that the pool was closed.,-0.075,0.892,-0.364,2.106,0.421,4.738,0.948,-0.414,23.544,0.523
test.sa-sb.sa::00738,James wanted to go swimming. He made plans with friends. Unfortunately it started to rain. Most of his friends cancelled.,0.0,content_diversity,"The nearby pool was closed because of the rain so Jimmy couldn't go swimming, anyway.",Jimmy was mad at the world after the pool closed and he made the trip there for nothing.,Jimmy decided to walk to the pool but then saw a notice that the pool was closed.,"Jimmy still wanted to swim but since the pools were closed, he had to stay home.",Jimmy wanted to swim at the pool still but found out it was not open because of the weather.,-0.094,0.887,-0.474,2.218,0.444,4.898,0.980,-0.575,20.480,0.418
test.sa-sb.sa::00739,Sam went out drinking. He tried to drive home. He couldn't find his keys. He had to call a taxi.,1.0,content_diversity,Sam didn't care about being responsible but the bar did and took his keys.,Sam was furious that his keys were missing but went home anyway.,Sam couldn't find anyone to give him a ride so he had to call for a ride.,Sam's friends at the bar took his keys making Sam angry at everyone.,Sam was so drunk he shouldn't have been driving anyway.,-0.047,0.916,-0.274,2.337,0.467,4.910,0.982,-0.387,20.406,0.486
test.sa-sb.sa::00740,Vintra went to the lake to fish. She has been going there since she was a little girl. She had her own secret spot. She arrived to see her girlfriend there.,1.0,content_diversity,Vintra was angry that her girlfriend intruded on her secret spot.,Vintra asked her girlfriend how she knew about her spot since she hadn't mentioned it before.,Vintra told her girlfriend to leave because this was her alone time spot.,Vintra was delighted to see her girlfriend there because she was feeling lonely.,Vintra decided to go back home because she didn't want to talk to her girlfriend.,-0.103,0.896,-0.492,2.108,0.422,4.926,0.985,-0.588,15.341,0.374
test.sa-sb.sa::00740,Vintra went to the lake to fish. She has been going there since she was a little girl. She had her own secret spot. She arrived to see her girlfriend there.,0.0,content_diversity,Vintra has never told anyone about her spot so she wanted to know how her girlfriend knew about it.,Vintra demanded answers after seeing her girlfriend at her very secret spot.,Vintra wanted to know why her girlfriend was at her spot because she never told her about it.,The girlfriend was grilled about being there because Vintra only mentions her place in her journal.,Vintra asked if her girlfriend read her diary to discover the spot that she had never talked about before.,-0.115,0.882,-0.404,2.065,0.413,4.816,0.963,-0.761,15.719,0.366
test.sa-sb.sa::00742,Edgar was typing the last half his novel. He had been working on it on and off for a few years. Writing a novel was bigger challenge than he had thought. Edgar was happy with how it was wrapping up.,0.0,content_diversity,Edgar has been trying to come up with plots for a different genre.,Edgar has tried not to think about another book but he's already got a few chapters in his head.,Edgar has been researching some things about his second book and is excited to get started.,Edgar wants to try something totally different next time and is writing things down about it.,Edgar has plenty of plans for his sophomore attempt but is anxious about the first one.,-0.065,0.921,-0.380,2.106,0.421,4.892,0.978,-0.463,22.072,0.470
test.sa-sb.sa::00743,Donald is on a bus ride with his baseball team. They are on their way to a game an hour away. About 30 minutes into the ride the bus stops. The bus begins smoking and everyone is ordered out.,0.0,content_diversity,Suddenly there were huge flames coming out of the engine.,A giant fire erupted in the front of the bus.,The bus quickly turned into a huge bonfire.,Donald watched as the bus started burning.,The fire spread and consumed the whole bus.,-0.047,0.938,-0.467,1.936,0.387,4.398,0.880,-0.678,16.141,0.538
test.sa-sb.sa::00744,Tim always loved reading and writing. He decided to try and write a book. It took him a long time. Not many people read it.,0.0,content_diversity,It was a cult classic,The few you read it were big fans,Tim develop a small loyal fan base,The book was considered an acquired taste but some liked it,"It had a polarizing reaction, people either loved or hated it",-0.022,0.967,-0.220,2.358,0.472,4.996,0.999,-0.502,14.446,0.628
test.sa-sb.sa::00745,Brett got new shoes today. His old ones had a hole in them. He really does not like his new shoes. Brett wanted his old shoes back.,1.0,content_diversity,he got his old shoes back,he exchange the new pair for a new pair of his old shoes,he threw the new shoes away,he decided to try the new shoe anyway,he keeps the new shoes,-0.122,0.854,-0.432,1.634,0.327,4.986,0.997,-0.610,15.594,0.678
test.sa-sb.sa::00746,The woman turned up the heater. It got up to seventy two degrees. The man was sweating. He checked the heater.,1.0,content_diversity,he turned it down,he was upset it was so hot,he turned it back to normal,he reduce it to 60,he asked why did the woman turn it up so high,-0.090,0.904,-0.263,2.039,0.408,4.658,0.932,-0.160,9.609,0.801
test.sa-sb.sa::00747,"There was a little boy named Bryan who wanted his own pumpkin badly. He saved and saved for when the pumpkin patch would open. Bryan even did extra chores for his mother so he would have enough. Finally after weeks of saving, the pumpkin patch was open.",1.0,content_diversity,Bryan bought the largest pumpkin.,Bryan couldn't afford the pumpkin.,Bryan lost all of his money.,His mom told him he couldn't have a pumpkin.,Bryan's mom wouldn't drive him to the pumpkin patch.,-0.050,0.934,-0.412,2.349,0.470,4.945,0.989,-0.459,11.224,0.416
test.sa-sb.sa::00748,"Charlie was told not to talk to strangers. However, he was thrilled to meet new people. He went to the store to talk to as many strangers as possible. He made a new friend and got in the car with the stranger.",0.0,content_diversity,The man was nice to Charlie and bought him cotton candy.,"A neighbor noticed Charlie with the man, thought it odd and alerted his family.",After going on a couple of rides together the man drove Charlie home.,They had a great time and made plans to meet up again.,By the end of the day Charlie no longer felt the man was a stranger.,-0.038,0.944,-0.311,2.545,0.509,4.974,0.995,-0.296,21.600,0.541
test.sa-sb.sa::00749,I went out to get a milkshake today. I went to my favorite ice cream shop to get one. When I got there I found out that milkshakes were very expensive. So I decided to get a cone instead.,1.0,content_diversity,The man standing behind me told me to order a milkshake saying it would be his treat.  I loved the milkshake.,When I got my cone I realized it was better than a milkshake.  I was happy when I realized I could afford another one.,As soon as the man handed me my cone I dropped it on the floor.  The man rudely told me to clean it up.,The whole time I was eating my cone I was wishing it was a milkshake.  It was very disappointing.,The man behind the counter heard my dismay over the price and gave me a milkshake at the same price of a cone.,-0.085,0.874,-0.370,2.901,0.322,4.735,0.947,-0.439,26.213,0.452
test.sa-sb.sa::00751,Tom was invited to a party. He wasn't much of a beer drinker. He got whatever he saw on sale. Everyone at the party was a bit disappointed.,1.0,content_diversity,it was not his fault though,they wanted better booze,they thought he was not being selective,they wanted him to put in more thoughts,"they were disappointed because the music was bad, not because of tom",-0.043,0.939,-0.212,2.201,0.440,4.969,0.994,-0.243,9.346,0.623
test.sa-sb.sa::00752,Liz loved a band that was coming to town. Her parents weren't sure about letting her go. Liz did extra chores and did well in school. Eventually her parents let her go.,1.0,content_diversity,she got the tickets,she was pleased,she went to the show,the show was somehow cancelled later,her friends went with her.,-0.044,0.919,-0.295,2.362,0.472,4.997,0.999,-0.322,9.972,0.831
test.sa-sb.sa::00753,Cindy wanted her own puppy very much. She asked her mother if she could have one. Her mother told her to save her money and work hard for one. Cindy finally had saved up enough money with smart budgeting.,1.0,content_diversity,Cindy told her mother she had reached her goal and her mother was so proud of her.,Cindy's mother took her out for lunch to celebrate.,Cindy made a list of all the different types of puppies she might want.,Cindy's mother told her they'll go to the store to buy a book on raising a puppy.,Cindy and her mother went to the shelter to look at the puppies who needed homes.,-0.061,0.902,-0.354,1.922,0.384,4.437,0.887,-0.440,22.917,0.509
test.sa-sb.sa::00753,Cindy wanted her own puppy very much. She asked her mother if she could have one. Her mother told her to save her money and work hard for one. Cindy finally had saved up enough money with smart budgeting.,0.0,content_diversity,Cindy was really surprised to see so many different types of puppies left at the shelter.,Cindy spent hours at the animal shelter trying to decide which puppy to give a home.,Cindy's mother told her that they'll go to the shelter that day to look at puppies.,Cindy asked her mother if they could go to the shelter so she could see the puppies.,Cindy told her mother she wanted to adopt a puppy at the shelter instead of buying one.,-0.101,0.875,-0.415,1.890,0.378,4.850,0.970,-0.702,25.016,0.463
test.sa-sb.sa::00755,Luther was raised up to be a christian. When Luther reached adulthood he thought different. Luther wanted to convert to another religion. Luther wanted to become Jewish.,0.0,content_diversity,"After becoming a jewish, he realised he doesn't like it","When he became a jew, he had to change and didn't like it","After becoming a jew, he had to change his beliefs which was weird to him",He realised that he doesn't like practising jewish religion,He regrets his decision because he didn't find himself in jewish religion,-0.103,0.826,-0.416,1.672,0.334,4.965,0.993,-0.731,13.262,0.442
test.sa-sb.sa::00756,Jane was a vegan. She was asked to pick up bacon. She thought it would be fine to get vegan bacon. She was clearly wrong.,0.0,content_diversity,She tried one bite of the bacon and spat it out.,The bacon was so chewy she couldn't even swallow it.,She was pretty sure that was the worst thing she ever ate.,The taste of the bacon reminded her of something rotten.,She did not like the taste at all.,-0.043,0.928,-0.327,2.779,0.556,4.528,0.906,-0.543,11.214,0.401
test.sa-sb.sa::00757,"Jasmine hosts a game night every Monday. Last Monday they played board games for four hours. Charlie won Monopoly, but Sue won Trivial Pursuit. At the end of the night, Jasmine gave away prizes.",1.0,content_diversity,She gave away her shoes that didn't fit anymore.,She gave away money.,She decided to give away her old phones.,She gave away gift certificates.,She awarded people with lottery tickets.,-0.113,0.882,-0.441,1.684,0.337,4.735,0.947,-0.430,9.041,0.335
test.sa-sb.sa::00757,"Jasmine hosts a game night every Monday. Last Monday they played board games for four hours. Charlie won Monopoly, but Sue won Trivial Pursuit. At the end of the night, Jasmine gave away prizes.",0.0,content_diversity,She gifted the winner with her old smartphones.,"Though they was old,she gave her smartphones to the winners.",Awarding last year's phone models to the winner was still a great prize.,The phones still had some use as a prize.,No one ever turns down a prize like a smartphone.,-0.038,0.935,-0.250,2.064,0.413,4.624,0.925,-0.590,17.238,0.493
test.sa-sb.sa::00759,Jake was at the bar one night. He decided to smoke but only had one cigarette left. He also had to go outside into the snow. Once outside his cigarette fell into the snow.,1.0,content_diversity,"Jake decided, then and there, to quit smoking because it just wasn't worth it.",Jake was disgusted so he went back inside the bar to buy a pack from the vending machine.,Jake decided to to call it a day and go home.,Jake went back inside to see if anyone had a cigarette he could have.,Jake told his friends he was going to quit since he didn't have any more cigarettes.,-0.057,0.922,-0.292,2.010,0.402,4.867,0.973,-0.435,24.026,0.546
test.sa-sb.sa::00759,Jake was at the bar one night. He decided to smoke but only had one cigarette left. He also had to go outside into the snow. Once outside his cigarette fell into the snow.,0.0,content_diversity,"With no more cigarettes and no money, Jake said he may as well not smoke.",Jack went back into the bar and made a huge announcement about quitting smoking.,Jack was bummed out with no cigarettes and said that it was as good a time as any to stop smoking.,Jack told everyone he always wanted to quit and this night game him even more reasons.,"Jack went back into the bar, grabbed his coat to go home, telling everyone he was done with cigarettes.",-0.057,0.902,-0.281,2.085,0.417,4.515,0.903,-0.545,31.955,0.592
test.sa-sb.sa::00760,Karl was getting ready for work. He didn't have enough time to make breakfast. Karl decided to just eat some cereal. He poured out the cereal before checking the milk.,1.0,content_diversity,Turns out that the milk was sour and he ruined a good bowl of cereal.,Karl looked into the fridge and realized he didn't have any milk.,Karl put the cereal back into the box because he was out of milk.,Karl remember he didn't have any milk so put the cereal back.,Karl put the cereal in a sandwich bag and just ate it like granola because he had no milk.,-0.131,0.832,-0.404,1.982,0.396,4.794,0.959,-0.670,20.557,0.514
test.sa-sb.sa::00762,"In college, I heard my first opera. It was called Marriage of Figaro. The singers sang in English so we could understand the words. It was a very funny story.",1.0,content_diversity,I love this opera,I like opera ever since,I did not like other opera though,I enjoy telling other people about this story,I decide to buy the book on this opera,-0.072,0.926,-0.222,1.720,0.344,4.875,0.975,-0.325,11.763,0.692
test.sa-sb.sa::00762,"In college, I heard my first opera. It was called Marriage of Figaro. The singers sang in English so we could understand the words. It was a very funny story.",0.0,content_diversity,I became an opera fan since,I have then enjoyed opera,I like going to the opera since,I have a new love affair with opera,I  love opera since,-0.096,0.904,-0.423,1.635,0.327,4.748,0.950,-0.784,10.040,0.591
test.sa-sb.sa::00763,Billy is driving home from work. He is so exhausted from the work. His eyes start to close. He falls asleep behind the wheel.,1.0,content_diversity,He crashes into an oncoming semitruck.,The car comes to a dead stop in the middle of the road.,The vehicle falls into a ditch.,Police catch him and write him a ticket.,He wakes up in the middle of a field without a vehicle.,-0.045,0.905,-0.363,2.013,0.403,4.983,0.997,-0.187,10.735,0.429
test.sa-sb.sa::00763,Billy is driving home from work. He is so exhausted from the work. His eyes start to close. He falls asleep behind the wheel.,0.0,content_diversity,The vehicle rolls over into a ditch.,The steering wheel veered to the right side where a ditch was located.,Another car hit Billy's car and knocked it into a ditch.,The vehicle kept going straight when the road curved.,Billy drove his car right into a ditch.,-0.083,0.899,-0.440,2.304,0.461,4.200,0.840,-0.377,16.064,0.487
test.sa-sb.sa::00764,Jake went bowling one day. It was his friend's birthday. Jake decided to be nice and let his friend win. The friend was excited over beating him.,0.0,content_diversity,Over ice cream Jake's friend happily reminisced about his win.,They got ice cream cake Jake's friend blew out the candles wishing that every birthday would be so perfect.,It was the perfect end to a lovely evening.,They created some good memories that day.,Over ice cream Jake's friend began to speculate as to whether he should bowl professionally.,-0.053,0.902,-0.301,2.147,0.429,4.941,0.988,-0.264,25.164,0.572
test.sa-sb.sa::00765,Jervis wanted to get a dog. He went to a pound to find a puppy. Jervis picked out a small puppy. He brought the puppy home and gave him some water to drink.,1.0,content_diversity,Jervis picked up his puppy book to make sure he did all the proper things for his new pup.,Jervis got out a food dish and filled it with puppy food for the puppy.,Jervis started crying because he was so happy when the puppy came up to him and licked his face.,The puppy was so happy to have Jervis that he ran around the floor and barked.,Jervis and the puppy made a deep and lasting connection within minutes of coming home.,-0.070,0.916,-0.350,2.223,0.445,4.407,0.881,-0.548,23.870,0.497
test.sa-sb.sa::00765,Jervis wanted to get a dog. He went to a pound to find a puppy. Jervis picked out a small puppy. He brought the puppy home and gave him some water to drink.,0.0,content_diversity,The puppy adored Jervis quickly and couldn't wait to bark out his love.,The puppy couldn't find enough ways to shoe Jervis how crazy he was about him.,Jervis got up to walk away and the puppy barked to tell him to stay with him.,The puppy was so grateful to be out of the cage he didn't know how to act so he barked at Jervis.,Jervis and the puppy played for hours because they were nuts for each other.,-0.065,0.910,-0.251,2.438,0.488,4.994,0.999,-0.635,15.743,0.375
test.sa-sb.sa::00766,"Mike had put off asking his girlfriend to marry him for years. He had told her that he wanted to wait till he graduated college. Now that college was over, he felt pressured to buy her a ring. Unfortunately for Mike, it came out that he hadn't wanted to propose.",1.0,content_diversity,He decided to break up with her instead.,He wanted to start a business before settling down.,He found himself attracted to other men.,He wanted to travel more.,He decided to wait a little while longer.,-0.084,0.901,-0.404,1.472,0.294,4.996,0.999,-0.183,9.457,0.450
test.sa-sb.sa::00767,Kate and her friends drove all the way to Las Vegas. But they didn't like their hotel. So they decided to look online. They sat in the car looking on their phones for a better deal.,1.0,content_diversity,Kate found a hotel for a lot cheaper.,They came across a hotel with more stars.,Kate's friend found a much better deal.,They finally saw one with much better reviews.,Kate found a website with better amenities.,-0.078,0.889,-0.462,2.258,0.452,4.644,0.929,-0.425,15.260,0.477
test.sa-sb.sa::00767,Kate and her friends drove all the way to Las Vegas. But they didn't like their hotel. So they decided to look online. They sat in the car looking on their phones for a better deal.,0.0,content_diversity,Kate found one that was a lot less expensive.,She finally came across a cheaper hotel.,Kate's friend found a way cheaper room.,They found a hotel for half the price.,The other website they used had great hotels for cheaper prices.,-0.038,0.952,-0.465,2.785,0.557,4.992,0.998,-0.576,15.876,0.481
test.sa-sb.sa::00768,"Abby was invited to a girl's trip to Seattle with her friends. Abby accepted the invitation, and were on their way to Seattle. After checking in the hotel, Abby fell straight asleep. When Abby awoke, her friends had returned from their night out.",1.0,content_diversity,abby joined them for dinner,abby missed the event,abby asked how their nights went,abby was upset her friends did not wake her up,abby was sad to be left out,-0.037,0.955,-0.457,1.480,0.296,4.964,0.993,-0.393,10.684,0.628
test.sa-sb.sa::00769,"I woke up early for work. I took the dog outside for a while. I made a large pot of coffee. I took a long, hot shower.",1.0,content_diversity,then I have breakfast,I skip breakfast,I have a large breakfast,I pick up breakfast on the way to work,I eat breakfast with my family,-0.092,0.924,-0.494,1.516,0.303,4.916,0.983,-0.556,9.731,0.811
test.sa-sb.sa::00770,Luther is a huge sports fan. He always attends his local high school sports games. One evening before a football game he has a chat with the coach. The coach is so blown away by Luther's knowledge of the game.,1.0,content_diversity,"Luther knows he wants to be a coach, someday, so he furiously studies everything he can.",Luther was never a gifted athlete so he depends on his knowledge to enjoy the game.,"Luther has always been an introvert so he likes to read about things he likes, like football.","Luther enjoys talking to coaches and other people know the game, inside and out.",The coach decides to ask Luther to come back so he can offer him an assistant's position.,-0.064,0.932,-0.257,2.625,0.525,4.999,1.000,-0.485,29.627,0.570
test.sa-sb.sa::00770,Luther is a huge sports fan. He always attends his local high school sports games. One evening before a football game he has a chat with the coach. The coach is so blown away by Luther's knowledge of the game.,0.0,content_diversity,Luther has spent years studying football from a-to-z and hopes someday to make a living from it.,Luther was hoping to talk to the coach about having an unpaid position to learn more about football.,"Since Luther was a little kid, football coaching has been his goal so he lives and breathes it now.","After studying for so many years, Luther feels like he's ready to try to get into coaching.",Luther can't play football so coaching is the right fit for him and he's studied the game his entire life.,-0.045,0.932,-0.276,2.505,0.501,4.971,0.994,-0.602,30.700,0.520
test.sa-sb.sa::00771,Jane and Carl had been struggling. Their relationship was in a bad spot. They got into a big fight over money issues. Both decided it was too much to handle.,0.0,content_diversity,The business was very successful.,Jane and Carl failed at the business and broke up.,They opened up a candy store which became famous locally.,The two of them were happy working together and solved their financial problems.,Twenty years later they are still in business.,-0.015,0.974,-0.367,2.839,0.568,4.994,0.999,-0.239,16.912,0.564
test.sa-sb.sa::00772,We went to the zoo. We walked around looking for the exhibits. We stopped to watch the penguins. They were jumping in the water and playing.,0.0,content_diversity,I had so much fun.,I enjoyed it.,I loved every minute of it.,It was a fun experience.,I liked it alot..,-0.046,0.948,-0.475,1.730,0.346,4.949,0.990,-0.744,7.689,0.481
test.sa-sb.sa::00773,Kevin had a big test in the morning. He decided to stay up all night studying. When it came time for the test Kevin was really tired. He kept falling asleep.,1.0,content_diversity,he missed the test,he did not finish the test,he did really badly,he did really well still,he had to pinch himself to stay awake,-0.097,0.878,-0.331,2.324,0.465,4.902,0.980,-0.256,8.876,0.740
test.sa-sb.sa::00774,John was walking around with a big stain on his pants. He didn't notice until someone pointed it out. John realized his pen had leaked in his pocket. It ruined his pants.,0.0,content_diversity,He ran to his car to grab a spare pair of pants he had in his gym bag.,John vowed never to put a pen in his pocket again.,A co-worker lent John a stain remover and they got the stain out.,He was forced to walk around all day with stained pants.,Then John burst into tears.,-0.025,0.951,-0.228,2.553,0.511,4.982,0.996,-0.256,17.248,0.466
test.sa-sb.sa::00776,Loren decided to wash the dishes for her roommates. She used a glass of water to soak the sponge in. After she washed everything she forgot to wash the glass. She left it next to the sink and a roommate tried to drink from it.,1.0,content_diversity,She grabbed it before her roommate could drink from it.,The roommate drank from it.,The roommate dropped the glass as they picked it up.,Her roommate decided to wash the glass instead.,Her roommate threw the glass at another one as they were fighting.,-0.076,0.899,-0.468,2.097,0.419,4.965,0.993,-0.455,9.438,0.363
test.sa-sb.sa::00777,"Barry recently had to take a reading test for college. Barry was nervous, as he did not know what was on the test. However, as Barry was taking the test, he realized how much he knew. As the test went along, Barry felt more confident about it.",1.0,content_diversity,Barry aced the test and got into college.,Barry failed the test and was not admitted to college.,Barry finished the test just in time and was the last person to turn it in.,Barry finished quickly and was the first person to turn in the test.,Barry lost concentration and fell asleep during the test.,-0.140,0.844,-0.518,1.681,0.336,4.986,0.997,-0.535,14.069,0.402
test.sa-sb.sa::00777,"Barry recently had to take a reading test for college. Barry was nervous, as he did not know what was on the test. However, as Barry was taking the test, he realized how much he knew. As the test went along, Barry felt more confident about it.",0.0,content_diversity,Barry got a perfect score on the test.,Barry got a good grade and was admitted to his first choice college.,Barry did so good he had several colleges to choose from.,Barry scored in the 90th percentile.,Barry got an A on the test and was accepted into college.,-0.068,0.899,-0.391,1.537,0.307,4.603,0.921,-0.554,12.563,0.393
test.sa-sb.sa::00778,Clint is playing Frisbee with his friends. Clint tosses the Frisbee on top of the roof by accident. Clint climb the ladder to get the Frisbee. On the way down the ladder falls.,1.0,content_diversity,Clint fell of the ladder and broke his leg,"Luckily, he fell on the grass and didn't broke anything",When he fell he was immediately transferred to the hospital,He had to stay 10 days in the hospital,He fell but nothing happened to him so he continued to play frisbee,-0.052,0.929,-0.313,2.275,0.455,4.609,0.922,-0.207,12.742,0.490
test.sa-sb.sa::00779,Charles wanted a raise. He was nervous about asking his boss. He finally built up enough courage to do it. His boss appreciated his initiative.,1.0,content_diversity,His boss agreed to give him a small raise.,"His boss was so impressed, he gave him a large raise and a promotion.",His boss informed him the company didn't have room in the budget for raises this year.,Unfortunately his position was being eliminated so he was fired.,His boss screamed at him to get back to work.,-0.055,0.921,-0.404,1.859,0.372,4.996,0.999,-0.353,17.270,0.508
test.sa-sb.sa::00779,Charles wanted a raise. He was nervous about asking his boss. He finally built up enough courage to do it. His boss appreciated his initiative.,0.0,content_diversity,Charles was given a raise and a promotion.,Charles was now the new supervisor.,Charles moved up the ranks and now works more closely with his boss.,His boss nominated him for employee of the month.,Charles received compensation and moved up in the ranks.,-0.052,0.918,-0.440,2.040,0.408,4.923,0.985,-0.582,8.736,0.324
test.sa-sb.sa-b::00240,There once was a person born without a brain. They tried and tried and tried to think. They read books and stared at screens until their eyes bled. Then one day they threw out all of their learning material.,0.0,content_diversity,they quit,they did not care,IT WAS TO HARD SO THEY WERE DONE,he gave up,he was done trying,-0.013,0.981,-0.194,1.715,0.343,4.513,0.903,-0.549,6.850,0.979
test.sa-sb.sa-b::00242,Chloe is an actress who just turned 19. She is very interested in politics. She decided to use her platform to raise political awareness. She started to campaign for Hillary Clinton.,1.0,content_diversity,shes excited to work,she got a lot of jobs,she got a lot of followers,shes not working in the white house,shes on tv alot,-0.084,0.815,-0.322,2.541,0.508,4.640,0.928,-0.317,9.772,0.752
test.sa-sb.sa-b::00242,Chloe is an actress who just turned 19. She is very interested in politics. She decided to use her platform to raise political awareness. She started to campaign for Hillary Clinton.,0.0,content_diversity,she got a lot of offers,she was happy,lots of work came in,everyone wanted to work with her,she was constantly sought after,-0.033,0.950,-0.288,3.280,0.656,4.940,0.988,-0.458,10.080,0.840
test.sa-sb.sa-b::00243,Our two year old granddaughter is learning how to read. She loves the letter W. She wants the Sesame Street letter of the day to be W. One day the letter of the day was not W.,0.0,content_diversity,Our grandaughter threw a total tantrum and finally wore herself out and slept.,"She screamed so loudly and for so long, she eventually fell asleep exhausted.",This made her so angry she screamed until she fell asleep.,Our grandaughter got so angry and animated she wore herself out and fell asleep.,She then had a total meltdown until she fell asleep exhausted.,-0.106,0.837,-0.436,2.465,0.493,4.447,0.889,-0.787,21.016,0.568
test.sa-sb.sa-b::00244,Ophelia is feeling bored at home one day. She decides to put on some music to listen to. She likes the music. Ophelia finishes listening to music.,1.0,content_diversity,She is then very sleepy so takes a nap.,She realises she is still bored so decides to go shopping.,Ophelia realises it is nearly time to eat so goes to the kitchen and starts cooking.,She feels so inspired she decides to take up the violin and looks for lessons.,She realises the time had gone so fast and she is now late for a very important appointment.,-0.067,0.915,-0.312,2.340,0.468,4.978,0.996,-0.301,16.316,0.441
test.sa-sb.sa-b::00247,"Brett was having some issues. He called his best friend Michael. They met at a coffee shop to talk. After a few hours, Brett felt like he knew what to do.",0.0,content_diversity,Michael professional made him an expert,Michael was afew years older and usually knew what to do,Michael has given Brett good advice in the past,Michael walks worked where brett did and knew how to advise him on work siutation,Michael was known for being a helpful friend,-0.033,0.959,-0.166,1.897,0.379,4.970,0.994,-0.572,18.392,0.657
test.sa-sb.sa-b::00248,Lauren had very crooked teeth. She went to the dentist who suggested she get braces. Lauren decided that would be a great idea and got them put on. She hated wearing them but knew it would be worth it.,0.0,content_diversity,Lauren no longer dreaded Halloween,She didn't look like pumpkinesque anymore,Lauren no had to wear an actual halloween mask and was thrilled,She really enjoyed being pretty for a change,Smiling no longer made her feel like a gourd,-0.028,0.954,-0.122,2.730,0.546,4.907,0.981,-0.397,19.763,0.790
test.sa-sb.sa-b::00249,Steve and Josie are newlyweds. But Josie suspects that Steve is already cheating. She told her friends and they all agreed Steve was up to something. They all decided to follow him one day.,1.0,content_diversity,he was taking dance lesson,he was learning how to make flower bouquet,he was indeed cheating,he was dating her best friend,he was actually working extra,-0.120,0.908,-0.277,1.925,0.385,4.954,0.991,-0.140,11.167,0.744
test.sa-sb.sa-b::00250,"Martha goes to the skating rink every Wednesday. It's the same night the roller derby team practices. Martha tries to imitate the way they skate. Next time they hold tryouts, Martha is going to go.",0.0,content_diversity,practice made me better,when i practiced i got a lot better,skating every day made me better,i was better after practicing,i tightened my skills,-0.063,0.911,-0.402,2.153,0.431,4.080,0.816,-0.622,11.151,0.697
test.sa-sb.sa-b::00251,Don was out on a field. He saw a rabbit get close. Don decided to chase it. The rabbit ran away slowly.,0.0,content_diversity,he went shopping afterwards,went to the store later,he had to go gracery shopping,dan bought groceries,dan went to get food,-0.043,0.928,-0.375,2.032,0.406,4.702,0.940,-0.458,10.559,0.660
test.sa-sb.sa-b::00252,Kim's daughter loved legos. Kim encouraged her creativity. Unfortunately she was bad at cleaning up afterward. Kim often stepped on Lego bricks.,1.0,content_diversity,She never let her play with Legos again.,She decided to buy her a dollhouse instead.,She cleaned up the bricks begrudgingly.,She had a talk with her daughter about tidiness.,She just let her daughter play with Legos anyway.,-0.072,0.900,-0.325,1.885,0.377,4.964,0.993,-0.321,11.658,0.486
test.sa-sb.sa-b::00253,I was around 8 years old. I was playing with my friend who happened to be a girl. We were playing hide and seek. I hid and she found me.,1.0,content_diversity,"She came up to me and gave me a big kiss, I was so surprised.","I leapt up and kissed her on the mouth, she screamed and ran away.",As we walked across the street she gave me a peck on the cheek and I blushed.,The prize for finding me was a kiss which was very sweet.,"I pulled her into the bush and kissed her, she seemed to like it.",-0.055,0.915,-0.399,2.444,0.489,4.971,0.994,-0.568,19.821,0.566
test.sa-sb.sa-b::00254,Jake was at the pool with friends. They decided to have a race from one end to the other. Jake had a good start. He actually pulled ahead and won.,0.0,content_diversity,he ended up being jealous,his friend was mad and envious,he left the next day upset,he was jealous,he was envious,-0.066,0.928,-0.477,2.036,0.407,4.510,0.902,-0.522,9.019,0.820
test.sa-sb.sa-b::00255,I went on a late night drive the other night. I had to be at an important meeting early the next morning. I forgot the meeting was so early in the morning. That's why I had to leave so late at night.,1.0,content_diversity,but the drive was good for me overall,i was tired at work the next day,i called off work,i drank coffee and felt better for work,i was feeling better the next day,-0.067,0.898,-0.336,2.217,0.443,4.919,0.984,-0.334,13.220,0.734
test.sa-sb.sa-b::00255,I went on a late night drive the other night. I had to be at an important meeting early the next morning. I forgot the meeting was so early in the morning. That's why I had to leave so late at night.,0.0,content_diversity,called into work,i was off the next day,i did not go into work,i had to tell my boss i was feeling bad,i did noy come to work today,-0.061,0.915,-0.198,2.167,0.433,4.776,0.955,-0.386,11.102,0.854
