sample_id,context,label_value,label_name,resp_0,resp_1,resp_2,resp_3,resp_4,metric_abs_hds_mean,metric_abs_hds_std,metric_AveragedCosineSimilarity,metric_AveragedDistinctNgrams,metric_BertScore,metric_SD,metric_SD_norm,metric_SSD,metric_SSD_norm,metric_SentBert,metric_TSD,metric_TSD_norm
test.sa-sb.sa-b::00354,Kate slept on a couch in a suite in Las Vegas. There weren't enough beds for everyone. Kate was always stiff after a night of sleeping on a couch. However today she only had a slightly stiff neck.,1.0,content_diversity,Later in the day her neck started to feel worse again.,Kate put that down to the CBD oil she took before bed.,This couch was more comfortable than most.,Kate was grateful that her day in Vegas was not ruined by a stiff neck.,The next night Kate got a bed and a friend slept on the sofa.,4.556,0.369,-0.025,0.949,-0.238,3.234,0.647,4.997,0.999,-0.197,40.752,0.637
test.sa-sb.sa-b::00357,Janice has a caffeine addiction but doesn't have a lot of money. She went to the store to see what she could get to satisfy her need. She ended up buying chocolate ice cream and soda to make a drink. After getting home she mixed the chocolate ice cream and soda.,0.0,content_diversity,Overall they liked it,She likes the drink,She thought the drink was pretty good,Overall the drink ended up being good,It turned out to be really good,2.222,0.533,-0.050,0.928,-0.421,2.660,0.532,4.946,0.989,-0.640,18.140,0.626
test.sa-sb.sa-b::00365,Ken loved his favorite comedy. He excitedly showed it to his girlfriend. She watched it all the way through without laughing. Ken nervously asked if she liked it.,1.0,content_diversity,Kate said it was terrible.,"Kate said she thought it was great, she wasn't a LOL type of girl.",It was then he realised she was asleep and probably had been the whole movie.,Kate said she had seen it before but didn't like to say.,"Kate was dead, that was why she was so quiet.",4.583,0.449,-0.079,0.912,-0.222,2.818,0.564,4.971,0.994,-0.307,43.323,0.647
test.sa-sb.sa-b::00366,Tucker is sitting home one night bored. He gets a text from his friend Sherry. She asks him to come out dancing with her. Tucker agrees and heads out to meet her.,0.0,content_diversity,The traffic is so bad that he doesn't make it to the club and ends up back at home.,He ends up returning home when he sees how much traffic there is.,The level of traffic is so high that he never gets to the club and turns back.,He turns back when he see how terrible the traffic is.,Traffic is awful on the roads so he decides to turn around and return to his house.,1.889,0.698,-0.091,0.874,-0.437,2.885,0.577,4.958,0.992,-0.511,56.039,0.667
test.sa-sb.sa-b::00370,Jake was looking forward to a movie for months. He was excited by all the previews. He got early screening tickets. The movie was not what Jake expected at all.,0.0,content_diversity,Very disappointed in the movie Jake was...,Jake was very sad the movie did not live up to its billing,Jake felt cheated as the previews were the best bits of the film.,Jake was very let down.,Jake felt misled as the previews had looked so good.,2.833,0.667,-0.084,0.890,-0.381,2.473,0.495,4.349,0.870,-0.566,28.149,0.521
test.sa-sb.sa-b::00376,"It was the day of Shannon's wedding. She was terrified, but excited. She waited in the dressing room until the wedding planner called her. She walked down the aisle with her father.",0.0,content_diversity,It couldn't get any better for her.,She still remembers it.,The whole thing was magical.,A moment to never be forgotten.,"Overtime, truly memorable for her.",2.444,0.497,-0.011,0.976,-0.183,2.890,0.578,4.314,0.863,-0.415,20.145,0.576
test.sa-sb.sa-b::00378,Jane need to get something from the store. But she was late for an appointment. She grabbed her things quickly and headed to checkout. She thought it would be quick.,0.0,content_diversity,She didn't the cashier being held up was even a possibility.,She never thought the store being robbed was possible.,She was taken back by the men in masks demanding money.,"In shock, she complied with the requests of the thieves.",Being a witness to a robbery was not on her to do list that day.,2.389,0.698,-0.037,0.954,-0.241,2.822,0.564,4.475,0.895,-0.331,40.109,0.627
test.sa-sb.sa-b::00387,Jane moved in and started working on an old house she bought. When thirsty she went to get a cup of water. But nothing came out of the faucet. She went to the basement to discover there were no pipes.,1.0,content_diversity,"She phoned the realtor who said she should have checked this when she viewed, Jane is furious.",Luckily Janes best friend is a plumber and she put it all right very quickly.,Jane had to go to the shop for bottled water and tried to figure out what to do.,Jane had forgotten about this so had to carry on and just be thirsty.,Jane phoned the police as she realised the copper pipes had been stolen.,4.667,0.527,-0.037,0.937,-0.182,2.888,0.578,4.935,0.987,-0.298,53.705,0.647
test.sa-sb.sa-b::00388,Ken wanted to be a rapper. He practiced often. He tried to join a local rap battle. He froze and was embarrassed.,0.0,content_diversity,"After that day, ken never rapped again.",Ken never rapped again after what had happened to him.,Nobody ever heard ken rap again after that day.,Ken never rapped again after that incident.,"After that happened , Ken gave up wanting to be a rapper.",2.111,0.698,-0.132,0.825,-0.519,2.420,0.484,3.694,0.739,-0.825,29.320,0.575
test.sa-sb.sa-b::00389,"Janice arrived on campus. She parked her car and started to walk towards the main hall. The double front doors were open when she was nearby. However, they started to close and smacked her in the face.",0.0,content_diversity,It stung for hours.,It made her eyes water.,The pain was intense.,She cried for a while.,She never felt such pain.,2.833,0.471,-0.017,0.965,-0.361,2.311,0.462,4.999,1.000,-0.406,10.955,0.391
test.sa-sb.sa-b::00395,"Abby recently had a physical done by her doctor. During the visit Abby told her doctor she wanted to tone her body. Abby's doctor recommended that she do strength training exercises. After leaving the doctor, Abby researched strength training exercises.",0.0,content_diversity,Abby found that the exercises were simple.,She learned how easy it is to do these exercises.,The exercises ended up being easy.,Abby found that they are not at all challenging.,They were not particularly demanding at all.,2.111,0.657,-0.041,0.924,-0.455,2.870,0.574,4.868,0.974,-0.638,25.842,0.587
test.sa-sb.sa-b::00406,Ken is a cook. While at work Ken begins cooking meals. While cooking a customer notices Ken spitting in their food. They complain to the manger.,0.0,content_diversity,Ken is sacked right away.,Ken is fired right at that moment.,Getting fired is the only thing that is going to happen to Ken.,The manger has no choice other than to let Ken go.,The manager fires Ken right away.,1.786,0.452,-0.068,0.918,-0.398,2.417,0.483,4.639,0.928,-0.604,26.895,0.572
test.sa-sb.sa-b::00407,Glenn has been living a lie his whole life. Glenn was a gay teenager. Glenn knew he needed to tell his parents his true self. One evening while having dinner Glenn tells them he is gay.,1.0,content_diversity,His parents are not shocked as they knew already and Glenn is relieved.,Glenns dad kicks Glenn out the house and he has to stay at his friends.,Glenns mom hates the idea but his dad is cool and says he will talk mum round.,His mum and dad reply they are splitting up as they both realise they are gay too.,Glenns mum faints and his dad kills himself. Glenn doubts this was a good idea.,4.611,0.567,-0.050,0.924,-0.294,3.086,0.514,4.994,0.999,-0.418,49.100,0.592
test.sa-sb.sa-b::00414,Jake was making a sandwich. He had all the ingredients ready. He put everything together. Right before taking a bit he noticed the moldy bread.,1.0,content_diversity,He ate the sandwich anyway.,He decided to give the sandwich to his dog instead.,He threw the sandwich in the trash.,"He went outside,found a homeless man and have him the sandwich.",He hurriedly put the sandwich down and went outside to vomit.,4.357,0.350,-0.110,0.902,-0.430,2.472,0.494,4.974,0.995,-0.485,33.290,0.653
test.sa-sb.sa-b::00416,I forgot to turn my hit monitor on. I sat there for a long time wishing there was something to do. I finally realized I had forgotten. I turned it on quickly.,1.0,content_diversity,My day's already off to a great start!,I'll just count the time wasted as meditation break.,"A side glance at the clock made me even more anxious, five minutes already passed.",I couldn't wait to check for my acceptance email.,I wanted to do my daily social media stalking of my ex.,4.444,0.643,-0.015,0.974,-0.162,2.278,0.456,4.980,0.996,-0.175,42.467,0.653
test.sa-sb.sa-b::00426,"I stole the assistant principal's walkie talkie. He looked for it for days. He knew someone took it, but didn't know who. He questioned a kid, and she told on me.",0.0,content_diversity,I can now no longer go back to that school ever again.,"They expelled me permanently, I cannot believe it.",I am now excluded for good.,I am now expelled forever.,They kicked me out of school for good.,1.833,0.408,-0.063,0.914,-0.445,2.211,0.442,4.917,0.983,-0.693,30.053,0.668
test.sa-sb.sa-b::00433,Jane was walking home at night. She went by a dark alley. A stranger leaped out and grabbed her purse. Jane tried to fight back but couldn't.,1.0,content_diversity,Jane was killed by the stranger.,Jane lost her purse to the stranger as he fled.,Jane started screaming for help and the stranger ran.,Jane fell to the ground unconcious.,Jane let go of the purse and ran away.,4.250,0.692,-0.080,0.913,-0.386,2.226,0.445,4.993,0.999,-0.524,25.414,0.565
test.sa-sb.sa-b::00437,"Gary had practiced mixed martial arts his whole life. He finally got the chance to fight for a championship. His opponent was tough, but beatable. Gary trained and studied his opponent.",1.0,content_diversity,He ended up beating his opponent.,It ended up losing anyway.,His skills showed in the ring.,He never prepared so well before.,He ended up defeating him.,3.556,0.497,-0.057,0.920,-0.424,1.944,0.389,4.970,0.994,-0.371,17.455,0.529
test.sa-sb.sa-b::00447,I hate too much noise around me. The kids get up and start running around. The one with autism stims very loudly. I put earplugs in so I don't have to hear it.,0.0,content_diversity,I wish it was all all over sometimes.,Some days I feel like killing myself.,Some times it gets so bad I feel like ending it all.,I could end my life because of it somedays.,On some days I actually think about suicide.,2.188,1.059,-0.054,0.920,-0.386,2.398,0.480,4.969,0.994,-0.632,30.526,0.623
test.sa-sb.sa-b::00448,Jane had broken her first pair of glasses. And now she had to tell her mother. She was sure to be upset. After telling her mom Jane braced herself for the yelling.,1.0,content_diversity,"To her surprise, her mom didn't get mad.",She got mad just as she thought.,her level of madness was lower then expected.,She really wished she didn't have to tell her.,"The moment she started yelling, she regretted telling her.",3.611,0.393,-0.037,0.951,-0.233,3.106,0.621,4.995,0.999,-0.394,32.636,0.628
test.sa-sb.sa-b::00577,Sally is in a relationship with her dream guy. She feels so lucky to be with such a handsome guy. One night while on a date he sits down and talks to her. He tells her that he just isn't feeling a connection with her.,0.0,content_diversity,Sally is heartbroken and leaves the restaurant.,"As she is running out of the restaurant, Sally is sobbing hysterically.",Sally is hysterical as her dream guy stands up to leave.,The waitress consoles Sally as the guy leaves her in the restaurant.,Sally is so upset she crashes her car after leaving the restaurant.,3.083,0.837,-0.088,0.906,-0.434,2.986,0.597,4.976,0.995,-0.558,35.401,0.590
test.sa-sb.sa-b::00579,"Pip built a treehouse with his dad. Tonight, they're going to have a super secret sleep over there. Pip made plans for the whole night and his dad bought snacks. Pip's mom promised she'd let them have a boys' night.",0.0,content_diversity,the tree house had its first night,the new tree house was used for the first time,"that night, the new tree house was utilized",that was the first time the tree house was used after built,that was the newly built treehouse's first time being put into use,1.833,0.816,-0.178,0.765,-0.489,2.583,0.517,4.920,0.984,-0.847,35.524,0.683
test.sa-sb.sa-b::00582,Viri went to the gym. She headed straight for the squat press. Viri has been working out hard the past few months. She's ready to add some more weight to the bar.,1.0,content_diversity,She added more weight and found she could easily lift it.,This was too heavy for her so she had to take them off.,It was too much and Viri put her back out.,She found it too easy so added even more.,the weights fell off the bar an crashed to the floor.,4.167,0.577,-0.029,0.937,-0.284,2.903,0.581,4.915,0.983,-0.382,39.417,0.667
test.sa-sb.sa-b::00597,My neighbor took an Uber on an errand. She took her two year old to the doctor. Her four year old saw her get into the Uber car. He started crying.,0.0,content_diversity,He cried continuously until they returned.,He wailed non stop until the came home.,He cried the entire time they were away.,His crying did not stop until they came home.,His crying did not cease until he saw them again.,2.111,0.875,-0.079,0.862,-0.531,2.277,0.455,4.995,0.999,-0.649,22.265,0.484
test.sa-sb.sa-b::00612,"Kate was at a gas station on the highway. She went in to get Advil. But they also had earbuds which she needed terribly. They were both low quality, and expensive.",1.0,content_diversity,She thought what the heck and bought them anyway.,Kate refused to pay so much for them and so did not buy them.,Kate had a huge argument with the guy behind the counter after trying to get him to lower the prices.,When the guy behind the counter was not looking Kate slipped them both in her hand bag.,Kate decied to wait until the next station and see what they had there.,4.611,0.393,-0.061,0.904,-0.228,2.727,0.545,4.983,0.997,-0.316,52.061,0.660
test.sa-sb.sa-b::00621,John was invited to a barbecue. He was asked to bring extras. He got chips and dip. He was welcomed warmly at the barbecue.,0.0,content_diversity,everyone loves chips and dips,no one can resist chips and dips,chips is a favorite at the party,"people like chip and dips, it is the way it is",chips are easy pick at party,2.278,0.786,-0.056,0.906,-0.276,2.131,0.426,4.466,0.893,-0.692,27.229,0.737
test.sa-sb.sa-b::00623,Larry wanted to go out with friends. They wanted to go to a bar. Larry had a bit of a drinking problem but went anyway. He got too drunk and made a fool of himself.,0.0,content_diversity,he was too drunk to drive home,he could not drink and drive,he was not able to drive his vehicle home,he was in no position to operate his car,he did not drive his car home,1.944,0.550,-0.101,0.875,-0.449,1.946,0.389,4.972,0.994,-0.675,23.213,0.611
test.sa-sb.sa-b::00640,Fred had always wanted to visit Spain. He saves his money for a big trip. Finally it is time for him to visit. He eats great food and meets interesting people.,1.0,content_diversity,it was a great trip,it was worth it,he decides to stay there longer,he moves there after,then he was off to italy,3.889,0.567,-0.043,0.926,-0.237,2.885,0.577,4.962,0.992,-0.261,15.697,0.628
test.sa-sb.sa-b::00643,My car was running rough the other day. I looked it over but couldn't figure out the problem. I ended up taking it to the local mechanic. He was able to identify the problem quickly.,1.0,content_diversity,He told me how much it was going to cost and then fixed it.,He said the car was beyond repair.,He then said he could not fix it as he was too busy.,He then said he was in a good mood and would fix it for free.,He said he nbeeded a part that would take four days to arrive.,4.167,0.527,-0.079,0.889,-0.352,2.708,0.542,4.999,1.000,-0.245,39.908,0.596
test.sa-sb.sa-b::00646,Lance is working hard on building a new room to his house. He works very hard day and night to get in done quick. One night while working all day he wanted to keep going and finish it. He began working while being tired and hammered his hand accidentally.,0.0,content_diversity,the hand broke,his hand was broken,he has broken his hand himself,the hand bone was fractured,his bone was damaged,1.833,0.408,-0.087,0.874,-0.532,2.140,0.428,4.966,0.993,-0.720,12.168,0.553
test.sa-sb.sa-b::00648,Dennis uses tinder to get a date. He finds a pretty girl and asks her out. On his date he takes her out to eat. He has a good time and asks if he can see her again.,1.0,content_diversity,she said yes,she said no,they became boyfriend girlfriend after,two years later they are married,she said she is moving away,4.278,0.342,-0.064,0.926,-0.142,2.422,0.484,4.875,0.975,-0.183,14.841,0.645
test.sa-sb.sa-b::00651,Sam's television was stolen. He was shopping for a replacement. He didn't have much money. Sam was looking at used ones when he found his old one.,0.0,content_diversity,he demand his old one back,the old tv was returned to the owner,he retrieve his old tv,he was able to recover his old tv,he reclaim what was his,2.444,0.550,-0.104,0.868,-0.384,2.302,0.460,4.512,0.902,-0.564,22.336,0.698
test.sa-sb.sa-b::00656,Sarah lost her husband in the war. It had been years since she seen her husband. One day she gets a letter in the mail. It was a letter from her husband.,0.0,content_diversity,she was glad to get a letter,she was happy receiving the letter,the letter made her warm inside,she was ecstatic to get something from him,she feels overjoyed,2.278,0.671,-0.066,0.901,-0.420,2.206,0.441,4.587,0.917,-0.682,19.262,0.642
test.sa-sb.sa-b::00662,"My friends and I bought tickets to a music festival. Before the festival, we went to John's house to have lunch. We grilled chicken and drank beer. After lunch, we went to the music festival.",0.0,content_diversity,it was fantastic,the music festival was enjoyable,it was so pleasurable,I had a great time there,I enjoy myself at the music festival,2.111,0.698,-0.056,0.901,-0.365,2.441,0.488,4.645,0.929,-0.682,13.636,0.545
test.sa-sb.sa-b::00669,"Mark was a repairman. He started fixing things when he was very young. His dad taught him everything he knew. Then, he went to a trade school to learn more.",1.0,content_diversity,Mark obtained his certificates,Mark obtained his degrees,Mark became licensed,Mark started his own company,Mark knew that this was his calling,3.111,0.515,-0.099,0.893,-0.451,1.578,0.316,4.143,0.829,-0.622,13.437,0.584
test.sa-sb.sa::00572,"Sean and I went on a walk at about 3:00am. We liked to walk in the silence and stillness of night. Eventually, we sat next to the stream to watch it bubble past. When we had been there for a little while, he kissed me.",0.0,content_diversity,Sean raped me,I told him no after the kiss but he didn't stop.,Sean ended up violating me.,Sean forced me to have sex after he kissed me,Sean made me have sex with him,1.700,0.400,-0.063,0.927,-0.477,2.003,0.401,4.958,0.992,-0.572,22.069,0.552
test.sa-sb.sa::00579,"Pip built a treehouse with his dad. Tonight, they're going to have a super secret sleep over there. Pip made plans for the whole night and his dad bought snacks. Pip's mom promised she'd let them have a boys' night.",1.0,content_diversity,Sadly it rained and the roof leaked all night.,It was a wonderful night for Pip and his dad.,Pip and his dad had fun gazing at the stars.,Pip's dad told ghosts stories until they both fell asleep.,Pip's dad told him they could have more secret sleepovers in the future.,4.556,0.550,-0.055,0.909,-0.336,2.630,0.526,4.732,0.946,-0.399,35.881,0.588
test.sa-sb.sa::00588,"Tim loved the Price is Right. He got tickets to go once. He was actually picked as a contestant. He didn't win, but still had a lot of fun.",0.0,content_diversity,He enjoyed every second,He loved it.,He loved being there.,Every minute he loved.,The whole time was enjoyable.,1.833,0.577,-0.041,0.947,-0.426,2.657,0.531,4.746,0.949,-0.807,10.822,0.451
test.sa-sb.sa::00589,Steve got a sweater for his birthday. Steve didn't like the sweater at all. He brought the sweater to a donation center. Steve donated the sweater.,1.0,content_diversity,he was happy he donated it.,he thought it was a good thing to do.,he feels happy inside.,he was glad to do something nice,he was happy the sweater went to a good cause.,2.333,0.816,-0.099,0.871,-0.435,2.180,0.436,4.850,0.970,-0.665,22.637,0.566
test.sa-sb.sa::00600,My daughter came home from college. Se showed up at my door yesterday. I had no idea she was coming. I was so happy to see her face.,0.0,content_diversity,We gathered together as a family and had a dinner,Our whole family had a dinner together,We all enjoyed delicious meal together,We sat down and had a meal as a family,My wife made us a meal and we had dinner all together,1.571,0.416,-0.111,0.846,-0.527,2.215,0.443,4.899,0.980,-0.729,27.036,0.601
test.sa-sb.sa::00606,Larry went to eat at a diner. They had a juke box available. People chose three songs before him. Larry went to pick three more.,0.0,content_diversity,"Fearing the reactions of the diners,he didn't pick any songs.","Not wanting to embarrass himself,he didn't pick any songs.",He didn't like the selection so he didn't pick any songs.,"Not wanting to show off his bad taste in music,he didn't pick anything.",He was in a rush and decided not to waste time picking songs.,2.722,0.533,-0.113,0.862,-0.486,2.536,0.507,4.541,0.908,-0.552,44.139,0.573
test.sa-sb.sa::00611,Jane went downtown one night. She got drunk at the bar with friends. She got a ride home to be safe. The next day she tried to get her car back but it wasn't there.,1.0,content_diversity,She looked everywhere for the car.,She went to the police station and reported her car stolen.,She found out that she parked it in a parking garage.,She went to the impound lot to see if it was there.,The car was never found.,3.889,0.774,-0.051,0.909,-0.365,2.464,0.493,4.639,0.928,-0.367,31.518,0.630
test.sa-sb.sa::00613,"In 2013, my old boss started a nanobrewery. It was just a few pieces of equipment in an old storage building. In 2015 he got more equipment and better facilities. Last month he got approved for an equipment loan from the state of MA.",0.0,content_diversity,My boss is worried about how will he pay the loan to the bank,He might have to apply for refinancing,Owning large amount of money makes him depressed,Bank is sending him warnings about the loan repayment,He has to cut costs in order to repay the loan,2.889,0.809,-0.035,0.942,-0.260,2.386,0.477,4.980,0.996,-0.397,35.912,0.733
test.sa-sb.sa::00617,Laurie contacted me on Facebook. I found out she was my daughter. I had given her up for adoption when she was born. We talked for hours and hours.,1.0,content_diversity,She showed me pictures of her kids,Laurie is my only mixed race child.,She raises and breeds dogs for a living.,She had the nerve to ask about my will.,We decided to meet again the next day.,4.444,0.831,-0.015,0.974,-0.228,2.528,0.506,4.778,0.956,-0.164,25.822,0.601
test.sa-sb.sa::00621,John was invited to a barbecue. He was asked to bring extras. He got chips and dip. He was welcomed warmly at the barbecue.,0.0,content_diversity,They were able to finish eating before it rained.,The grills were moved into the garage.,Everyone moved into the basement to escape the rain.,The kids played outside in the rain and had fun.,The yard flooded from the rain.,3.500,0.667,-0.063,0.913,-0.375,2.861,0.572,4.998,1.000,-0.252,24.578,0.534
test.sa-sb.sa::00623,Larry wanted to go out with friends. They wanted to go to a bar. Larry had a bit of a drinking problem but went anyway. He got too drunk and made a fool of himself.,1.0,content_diversity,The bouncers had to throw him out of the bar,His friends had to watch him all night,He got so drunk that he spent the night hugging the toilet,He made a fool of himself in front of the girl he likes,"Seeing his condition, friends decided that it is enough and dragged him out of the bar",4.111,0.567,-0.067,0.890,-0.275,2.536,0.507,4.975,0.995,-0.255,45.178,0.753
test.sa-sb.sa::00630,Jane offered his friend some candy. He didn't tell him it was sour. Jane's friend popped it in her mouth right away. She immediately puckered her face.,1.0,content_diversity,Jane's friend accosted him for not warning him beforehand about the sourness of the candy.,Jane laughed as he watched his friend's face contort.,"As his friend's face puckered, Jane apologized profusely.",His friend tried to wrestle Jane to the ground as revenge for not warning her.,Jane's friend promptly started to gag.,4.056,0.685,-0.046,0.906,-0.324,2.801,0.560,4.844,0.969,-0.510,44.119,0.658
test.sa-sb.sa::00635,I had a nightmare the other night. It was so scary that it woke me up from my sleep. It took me a long time to go back to bed. I finally got back to sleep.,1.0,content_diversity,I had another nightmare.,My alarm went off and woke me up.,My cat jumped on me and woke me up.,My baby started screaming and startled me awake.,I woke to the smell of coffee.,4.000,0.745,-0.055,0.895,-0.441,2.340,0.468,4.968,0.994,-0.387,24.120,0.588
test.sa-sb.sa::00636,"Every Thanksgiving, Josie broke the wishbone with her father. It was their tradition since she was three years old. She waited patiently as her whole family sat down to their meal. She got up from her seat when her mother started clearing the table.",1.0,content_diversity,Her mother handed her the wishbone.,She grabbed the wishbone and walked over to her father.,She got the wishbone and broke it with her dad.,Her dad already had the wishbone and broke it with her.,Someone else had already broken the wishbone.,2.889,0.515,-0.161,0.765,-0.479,2.403,0.481,4.918,0.984,-0.577,26.865,0.548
test.sa-sb.sa::00645,A couple of Mormons challenged strangers to a basketball game. The others accepted. The Mormons were exceptionally good at the game. They beat the other guys fairly easily.,1.0,content_diversity,The other guys were good sports about it.,The Mormons started teasing the other guys.,The other guys were bad sports when they lost.,The others guys were shocked the Mormons were so good.,The other guys got mad and started beating the Mormons.,4.214,0.647,-0.138,0.839,-0.481,2.097,0.419,4.462,0.892,-0.500,29.726,0.607
test.sa-sb.sa::00663,I always wanted to take an art class. So when I turned 40 I enrolled into art classes. I was so nervous and didn't really talk to anyone unless necessary. Our first project was a group activity that forced everyone to talk.,1.0,content_diversity,I realized my classmates were really nice.,Everyone was so nice to talk to.,No one really wanted to talk to each other.,We met up at the bar every day after class.,By the end of the class we were friends.,3.111,0.657,-0.032,0.935,-0.278,2.850,0.570,4.966,0.993,-0.289,26.669,0.567
test.sa-sb.sa::00664,Jenny has decided that she wants to buy a cellphone. She goes to a store but finds many are expensive. Finally she finds a cell phone that fits her budget. Jenny buys it.,1.0,content_diversity,Jenny is happy with her purchase and loves her new phone,Jenny hates her cheap new phone and gets another one,As she's leaving the store she drops and breaks it,She loves her new phone and shows it to her friends,"Jenny spends all day programming her new phone, she loves it",3.833,0.624,-0.091,0.880,-0.387,2.861,0.572,4.606,0.921,-0.449,34.797,0.621
test.sa-sb.sa::00665,"Abby recently went diving in Jamaica. As Abby was diving, she grabbed a piece of coral. The instructor immediately scolded Abby for her error. Abby did not know she could not break off the coral.",1.0,content_diversity,Abby cried when she was told that she couldn't take the coral.,Abby tried to put the coral back.,The instructor felt bad for scolding and explained why she shouldn't take the coral.,Abby threw the coral back into the ocean.,Abby ran home and told her mother what happened.,4.611,0.393,-0.075,0.904,-0.324,2.603,0.521,4.952,0.990,-0.470,34.452,0.584
test.sa-sb.sa-b::00680,Tammy had a gambling addiction. Most forms are outlawed where she lives. Except for dog racing. She goes every weekend.,1.0,content_diversity,One weekend she went to the dog tracks and learned her lesson after spending her entire paycheck!,Last weekend she actually won $1000 and booked a trip to Mexico with the winnings.,Tammy fell in love with one of the Greyhounds and adopted him when he retired.,One day she booked a trip to Vegas where she could gamble even more.,Tammy's friends were worried about her so they staged an intervention.,4.722,0.533,-0.038,0.931,-0.225,3.272,0.654,4.987,0.997,-0.265,50.871,0.636
test.sa-sb.sa-b::00685,My sister-in-law B loved to nibble on raw hamburger. One day we were on vacation together. B made hamburgers for us. Later at night she had stomach cramps.,0.0,content_diversity,she made a bad choice,eating raw meat was a bad decision,she should not have eaten raw meat,she decides incorrectly,her decision was wrong,1.812,0.428,-0.040,0.919,-0.398,2.505,0.501,4.840,0.968,-0.494,13.327,0.513
test.sa-sb.sa-b::00687,Jake never cooked dinner. He thought he would surprise his girlfriend. He looked up online how to cook a fancy dinner. Jake only messed up small parts of it.,0.0,content_diversity,Jake was proud of learning something new.,Jake needed the extra help.,The additional knowledge let Jake succeed.,The extra research led to a happy event.,The meal went good by Jake's research.,3.389,0.906,-0.025,0.964,-0.331,2.943,0.589,4.978,0.996,-0.530,23.677,0.592
test.sa-sb.sa-b::00695,Joan went to the movies. She was going to meet her friend Lynn. Lynn was late for their meetings. Joan and Lynn bought their tickets.,1.0,content_diversity,they went inside the movie,they want the movies,they enjoy the movies,they went to dinner after,they went to the bar after,2.889,0.458,-0.123,0.844,-0.385,1.473,0.295,4.161,0.832,-0.351,13.194,0.550
test.sa-sb.sa-b::00697,The man baked the bread. The loaf looked perfect. He shared the load with his friends. His friends asked for the recipe.,0.0,content_diversity,He and his friends decided to have a competition to see who could bake the best loaf.,Together they agreed to compete to see who made the nicest bread.,A contest was put in place to determine who had the most excellent loaf ever.,They started a contest to see who's bread was superior.,The friends put a competition together so they could see who was the best bread baker.,1.812,0.658,-0.079,0.898,-0.549,3.279,0.656,4.735,0.947,-0.760,42.584,0.553
test.sa-sb.sa-b::00699,"Janet's family was used to tornado season where they lived. Luckily, they had avoided any major damage to their farm. They heard of a bad tornado coming their way. They weren't worried and didn't evacuate like their neighbors.",0.0,content_diversity,They all died as the tornado was so strong and destructive.,This time they were not so lucky and the house was destroyed by the tornado and they were all killed.,"This was a super tornado that destroyed the house, killing them all.",They all died this time becuase the tornado was so powerful.,The tornado was the biggest ever and tore their house apart and killed them all.,1.750,0.612,-0.110,0.862,-0.489,2.574,0.515,4.239,0.848,-0.795,48.200,0.643
test.sa-sb.sa-b::00700,Jake invited friends over to play board games. They had drinks and played Monopoly mostly. Everyone had a good time. Eventually there was no winner and it got late.,0.0,content_diversity,Everyone had so much fun.,All of the participants had a fabulous time.,Jake and his friends found their time playing games together to be enjoyable.,Each attendee had a wonderful time.,They all had a very pleasurable experience.,2.167,0.624,-0.045,0.952,-0.531,2.380,0.476,4.760,0.952,-0.737,27.266,0.620
test.sa-sb.sa-b::00701,Devin just got his licenses. He asks his parents for permission to out driving. While out driving he agrees to race one of his friends. Devin steps on the gas and races in his parents car.,1.0,content_diversity,he wrecks it,he won the race,he got pulled over,it was exhilerating,he felt bad after,4.389,0.515,-0.039,0.756,-0.218,1.856,0.371,4.961,0.992,-0.322,12.131,0.674
test.sa-sb.sa-b::00712,Tammy was at the park. She was watching her kids play. Tammy decided it was time to leave. She called her kids to the car.,0.0,content_diversity,they left,they leave the park,they went on with their car,they were on the road again,they drive away from the park,2.000,0.527,-0.071,0.923,-0.228,2.101,0.420,4.974,0.995,-0.398,14.909,0.621
test.sa-sb.sa-b::00725,I was at my cousin's house. And I wanted to walk to the mall. I thought I was familiar enough with the area. But I was lost for over an hour.,1.0,content_diversity,I got there eventually though.,I walked and walked and when I finally got there it was shut.,In the end I gave up and went back to my cousins house.,I am glad I didnt give up as when I got there they were giving away burgers!,A police car stopped and asked if I needed helo and they took me back to my cousins house.,4.056,0.497,-0.088,0.873,-0.219,2.842,0.568,4.942,0.988,-0.129,49.566,0.688
test.sa-sb.sa-b::00728,Tom was in the war. He got injured and received a purple heart. When he returned home it was meaningless. Nobody really cared other than to feel sorry for him.,0.0,content_diversity,He wondered if he should have done something else in his life.,He regretted choosing the military.,The purple heart was not worth the pity.,He felt his life was one big mistake.,He accepted that he chose incorrectly.,3.833,0.667,-0.031,0.953,-0.383,2.184,0.437,4.992,0.998,-0.339,26.085,0.593
test.sa-sb.sa-b::00730,Frank Ocean's album is to be released Friday. I don't believe it. He was supposed to release his album two years ago. He hasn't made music in that time period.,0.0,content_diversity,If I had to bet at least.,Just my opinion.,My person thoughts on it.,Only my personal vision on it.,I felt that way.,1.611,0.314,-0.020,0.958,-0.223,2.753,0.551,4.983,0.997,-0.357,18.141,0.605
